user_id,branches_of_interest,tags_followed,active_hours,buddies
stu_0015,"[""IT""]","[""design"", ""startups"", ""internships""]","[""06:00-09:00"", ""08:00-11:00""]","[""stu_4235"", ""stu_0043"", ""stu_0189"", ""stu_3488""]"
stu_0016,"[""CSE""]","[""design"", ""python"", ""ML"", ""clubs""]","[""17:00-19:00"", ""08:00-11:00""]","[""stu_1156"", ""stu_0448""]"
stu_0017,"[""Mech"", ""AI""]","[""design"", ""clubs"", ""coding"", ""internships"", ""python""]","[""06:00-09:00"", ""17:00-19:00""]","[""stu_2383"", ""stu_3171""]"
stu_0018,"[""CSE"", ""ECE""]","[""project"", ""ML"", ""internships""]","[""12:00-14:00"", ""08:00-11:00""]","[""stu_3322"", ""stu_4535"", ""stu_0431"", ""stu_2166""]"
stu_0019,"[""CSE""]","[""coding"", ""startups"", ""events"", ""ML""]","[""12:00-14:00"", ""17:00-19:00""]","[""stu_2315"", ""stu_3639""]"
stu_0020,"[""ECE"", ""CSE""]","[""internships"", ""coding"", ""python"", ""events"", ""career""]","[""06:00-09:00"", ""17:00-19:00""]","[""stu_4792"", ""stu_0381"", ""stu_4239""]"
stu_0021,"[""DS"", ""IT""]","[""coding"", ""startups"", ""internships"", ""career""]","[""06:00-09:00"", ""08:00-11:00""]","[""stu_2873"", ""stu_2066"", ""stu_3831""]"
stu_0022,"[""Mech"", ""DS""]","[""clubs"", ""ML"", ""career"", ""python"", ""design""]","[""17:00-19:00"", ""06:00-09:00""]","[""stu_2524"", ""stu_3224"", ""stu_0156""]"
stu_0023,"[""Mech"", ""DS""]","[""events"", ""ML"", ""internships""]","[""20:00-23:00"", ""12:00-14:00""]","[""stu_1805"", ""stu_4413"", ""stu_2486"", ""stu_4080""]"
stu_0024,"[""CSE"", ""Mech""]","[""internships"", ""design"", ""career"", ""project"", ""clubs""]","[""17:00-19:00"", ""08:00-11:00""]","[""stu_2025"", ""stu_3672"", ""stu_4914"", ""stu_4170""]"
stu_0025,"[""DS"", ""ECE""]","[""ML"", ""startups"", ""design"", ""internships""]","[""06:00-09:00"", ""08:00-11:00""]","[""stu_2050"", ""stu_3668""]"
stu_0026,"[""DS""]","[""python"", ""internships"", ""events"", ""startups""]","[""12:00-14:00"", ""06:00-09:00""]","[""stu_1729"", ""stu_3608"", ""stu_1632"", ""stu_2075""]"
stu_0027,"[""IT"", ""ECE""]","[""ML"", ""career"", ""events"", ""project""]","[""08:00-11:00"", ""12:00-14:00""]","[""stu_0048"", ""stu_2749""]"
stu_0028,"[""IT"", ""Mech""]","[""internships"", ""python"", ""startups"", ""career""]","[""20:00-23:00"", ""12:00-14:00""]","[""stu_0120"", ""stu_1691""]"
stu_0029,"[""ECE"", ""CSE""]","[""startups"", ""ML"", ""coding""]","[""06:00-09:00"", ""17:00-19:00""]","[""stu_1790"", ""stu_0565"", ""stu_0955""]"
stu_0030,"[""IT"", ""DS""]","[""clubs"", ""events"", ""python"", ""career""]","[""12:00-14:00"", ""06:00-09:00""]","[""stu_1742"", ""stu_1598""]"
stu_0031,"[""DS"", ""CSE""]","[""clubs"", ""events"", ""career"", ""startups""]","[""08:00-11:00"", ""12:00-14:00""]","[""stu_3704"", ""stu_1241"", ""stu_3373"", ""stu_4425""]"
stu_0032,"[""ECE""]","[""project"", ""events"", ""startups"", ""ML""]","[""17:00-19:00"", ""12:00-14:00""]","[""stu_4008"", ""stu_3818"", ""stu_1009"", ""stu_1137""]"
stu_0033,"[""CSE"", ""IT""]","[""clubs"", ""career"", ""coding"", ""ML""]","[""20:00-23:00"", ""17:00-19:00""]","[""stu_2926"", ""stu_2552""]"
stu_0034,"[""AI"", ""Mech""]","[""coding"", ""events"", ""design"", ""project"", ""internships""]","[""20:00-23:00"", ""06:00-09:00""]","[""stu_4946"", ""stu_1696"", ""stu_3642""]"
stu_0035,"[""AI""]","[""coding"", ""python"", ""startups"", ""events""]","[""12:00-14:00"", ""17:00-19:00""]","[""stu_1688"", ""stu_3008"", ""stu_3554""]"
stu_0036,"[""Mech""]","[""clubs"", ""startups"", ""project""]","[""20:00-23:00"", ""08:00-11:00""]","[""stu_4219"", ""stu_0372"", ""stu_1120"", ""stu_1378""]"
stu_0037,"[""ECE"", ""AI""]","[""events"", ""ML"", ""python"", ""clubs"", ""internships""]","[""12:00-14:00"", ""20:00-23:00""]","[""stu_2811"", ""stu_0248"", ""stu_4318""]"
stu_0038,"[""AI"", ""ECE""]","[""coding"", ""ML"", ""startups"", ""design""]","[""08:00-11:00"", ""17:00-19:00""]","[""stu_0229"", ""stu_3899""]"
stu_0039,"[""DS"", ""Mech""]","[""internships"", ""startups"", ""events"", ""coding"", ""project""]","[""17:00-19:00"", ""20:00-23:00""]","[""stu_4358"", ""stu_0765""]"
stu_0040,"[""ECE""]","[""design"", ""clubs"", ""coding"", ""project""]","[""06:00-09:00"", ""12:00-14:00""]","[""stu_0326"", ""stu_4579""]"
stu_0041,"[""CSE""]","[""design"", ""startups"", ""python"", ""clubs""]","[""17:00-19:00"", ""06:00-09:00""]","[""stu_1060"", ""stu_3539"", ""stu_3408"", ""stu_4328""]"
stu_0042,"[""Mech""]","[""ML"", ""project"", ""coding"", ""design"", ""internships""]","[""06:00-09:00"", ""12:00-14:00""]","[""stu_0167"", ""stu_2833"", ""stu_3844"", ""stu_2151""]"
stu_0043,"[""AI""]","[""clubs"", ""project"", ""career"", ""startups"", ""coding""]","[""20:00-23:00"", ""17:00-19:00""]","[""stu_3989"", ""stu_0919"", ""stu_3544"", ""stu_1383""]"
stu_0044,"[""DS"", ""ECE""]","[""python"", ""career"", ""events"", ""ML""]","[""20:00-23:00"", ""12:00-14:00""]","[""stu_0362"", ""stu_0833""]"
stu_0045,"[""ECE""]","[""startups"", ""ML"", ""project""]","[""12:00-14:00"", ""06:00-09:00""]","[""stu_3711"", ""stu_4341""]"
stu_0046,"[""CSE""]","[""python"", ""events"", ""ML"", ""startups""]","[""12:00-14:00"", ""17:00-19:00""]","[""stu_4674"", ""stu_4495"", ""stu_1843""]"
stu_0047,"[""DS""]","[""internships"", ""design"", ""ML"", ""startups"", ""python""]","[""17:00-19:00"", ""12:00-14:00""]","[""stu_2701"", ""stu_4154"", ""stu_4803""]"
stu_0048,"[""AI"", ""Mech""]","[""startups"", ""clubs"", ""python"", ""coding""]","[""06:00-09:00"", ""12:00-14:00""]","[""stu_2965"", ""stu_2369"", ""stu_1971""]"
stu_0049,"[""DS"", ""AI""]","[""career"", ""events"", ""python"", ""clubs"", ""internships""]","[""20:00-23:00"", ""06:00-09:00""]","[""stu_2520"", ""stu_4962"", ""stu_3874"", ""stu_3697""]"
stu_0050,"[""CSE""]","[""coding"", ""internships"", ""startups"", ""python""]","[""12:00-14:00"", ""08:00-11:00""]","[""stu_2129"", ""stu_2967""]"
stu_0051,"[""IT"", ""ECE""]","[""python"", ""startups"", ""internships"", ""coding""]","[""06:00-09:00"", ""12:00-14:00""]","[""stu_4376"", ""stu_4986"", ""stu_2837"", ""stu_2893""]"
stu_0052,"[""AI"", ""IT""]","[""python"", ""design"", ""project"", ""coding""]","[""17:00-19:00"", ""12:00-14:00""]","[""stu_2771"", ""stu_0624"", ""stu_2335"", ""stu_0378""]"
stu_0053,"[""DS""]","[""internships"", ""ML"", ""design""]","[""12:00-14:00"", ""17:00-19:00""]","[""stu_4740"", ""stu_0775""]"
stu_0054,"[""IT""]","[""events"", ""coding"", ""design""]","[""08:00-11:00"", ""12:00-14:00""]","[""stu_4858"", ""stu_4411"", ""stu_1073"", ""stu_3787""]"
stu_0055,"[""Mech"", ""AI""]","[""ML"", ""events"", ""clubs"", ""python"", ""internships""]","[""17:00-19:00"", ""08:00-11:00""]","[""stu_4520"", ""stu_0757"", ""stu_2296"", ""stu_0526""]"
stu_0056,"[""DS""]","[""python"", ""project"", ""design"", ""clubs""]","[""06:00-09:00"", ""12:00-14:00""]","[""stu_3676"", ""stu_3438""]"
stu_0057,"[""ECE""]","[""project"", ""coding"", ""startups"", ""design"", ""python""]","[""06:00-09:00"", ""12:00-14:00""]","[""stu_2480"", ""stu_4635""]"
stu_0058,"[""ECE"", ""DS""]","[""clubs"", ""design"", ""python""]","[""12:00-14:00"", ""17:00-19:00""]","[""stu_3620"", ""stu_1773"", ""stu_2320""]"
stu_0059,"[""IT""]","[""startups"", ""ML"", ""clubs"", ""python"", ""coding""]","[""20:00-23:00"", ""08:00-11:00""]","[""stu_2215"", ""stu_4932""]"
stu_0060,"[""DS""]","[""clubs"", ""python"", ""project""]","[""08:00-11:00"", ""06:00-09:00""]","[""stu_4900"", ""stu_2372"", ""stu_1724""]"
stu_0061,"[""Mech""]","[""ML"", ""python"", ""coding"", ""clubs"", ""design""]","[""17:00-19:00"", ""08:00-11:00""]","[""stu_0588"", ""stu_3152"", ""stu_0988""]"
stu_0062,"[""DS"", ""CSE""]","[""internships"", ""coding"", ""clubs"", ""design"", ""python""]","[""12:00-14:00"", ""20:00-23:00""]","[""stu_1648"", ""stu_3225"", ""stu_0583"", ""stu_4621""]"
stu_0063,"[""Mech""]","[""internships"", ""events"", ""ML"", ""python"", ""project""]","[""12:00-14:00"", ""20:00-23:00""]","[""stu_4416"", ""stu_4147""]"
stu_0064,"[""DS""]","[""coding"", ""clubs"", ""events"", ""internships""]","[""08:00-11:00"", ""17:00-19:00""]","[""stu_0531"", ""stu_3557"", ""stu_1203""]"
stu_0065,"[""CSE""]","[""project"", ""startups"", ""design"", ""ML"", ""clubs""]","[""06:00-09:00"", ""08:00-11:00""]","[""stu_0598"", ""stu_2714"", ""stu_1641""]"
stu_0066,"[""DS"", ""IT""]","[""ML"", ""project"", ""python""]","[""06:00-09:00"", ""08:00-11:00""]","[""stu_0155"", ""stu_4720""]"
stu_0067,"[""ECE""]","[""ML"", ""events"", ""startups"", ""project"", ""coding""]","[""08:00-11:00"", ""17:00-19:00""]","[""stu_3866"", ""stu_0052"", ""stu_2301""]"
stu_0068,"[""DS""]","[""coding"", ""events"", ""python"", ""design""]","[""17:00-19:00"", ""20:00-23:00""]","[""stu_1490"", ""stu_3433""]"
stu_0069,"[""CSE""]","[""project"", ""startups"", ""design""]","[""20:00-23:00"", ""06:00-09:00""]","[""stu_0307"", ""stu_0203"", ""stu_3916"", ""stu_2885""]"
stu_0070,"[""CSE"", ""Mech""]","[""internships"", ""ML"", ""clubs"", ""events""]","[""08:00-11:00"", ""20:00-23:00""]","[""stu_4285"", ""stu_0605"", ""stu_4433""]"
stu_0071,"[""DS""]","[""startups"", ""internships"", ""ML"", ""design"", ""career""]","[""08:00-11:00"", ""12:00-14:00""]","[""stu_3766"", ""stu_3622"", ""stu_2809""]"
stu_0072,"[""CSE""]","[""clubs"", ""python"", ""ML""]","[""08:00-11:00"", ""17:00-19:00""]","[""stu_3100"", ""stu_3307""]"
stu_0073,"[""Mech"", ""IT""]","[""python"", ""ML"", ""coding"", ""internships"", ""startups""]","[""08:00-11:00"", ""20:00-23:00""]","[""stu_0392"", ""stu_3842"", ""stu_0054""]"
stu_0074,"[""ECE"", ""DS""]","[""coding"", ""design"", ""career"", ""project""]","[""17:00-19:00"", ""06:00-09:00""]","[""stu_0900"", ""stu_1151"", ""stu_4913"", ""stu_0386""]"
stu_0075,"[""DS""]","[""coding"", ""clubs"", ""startups"", ""internships"", ""events""]","[""12:00-14:00"", ""17:00-19:00""]","[""stu_1373"", ""stu_0850""]"
stu_0076,"[""CSE"", ""IT""]","[""ML"", ""career"", ""coding"", ""internships"", ""python""]","[""17:00-19:00"", ""06:00-09:00""]","[""stu_2485"", ""stu_3008"", ""stu_3550"", ""stu_2234""]"
stu_0077,"[""CSE""]","[""events"", ""startups"", ""project"", ""coding"", ""design""]","[""17:00-19:00"", ""12:00-14:00""]","[""stu_2230"", ""stu_1788"", ""stu_0926""]"
stu_0078,"[""AI""]","[""coding"", ""clubs"", ""project"", ""internships""]","[""06:00-09:00"", ""12:00-14:00""]","[""stu_3634"", ""stu_1737"", ""stu_3447"", ""stu_1643""]"
stu_0079,"[""ECE"", ""IT""]","[""career"", ""internships"", ""design"", ""ML"", ""startups""]","[""20:00-23:00"", ""06:00-09:00""]","[""stu_0096"", ""stu_4731"", ""stu_4981"", ""stu_3675""]"
stu_0080,"[""ECE"", ""DS""]","[""startups"", ""clubs"", ""python""]","[""06:00-09:00"", ""08:00-11:00""]","[""stu_3939"", ""stu_1271""]"
stu_0081,"[""CSE""]","[""career"", ""events"", ""startups"", ""internships""]","[""08:00-11:00"", ""17:00-19:00""]","[""stu_4465"", ""stu_1189"", ""stu_4449"", ""stu_4010""]"
stu_0082,"[""IT""]","[""clubs"", ""python"", ""coding"", ""internships"", ""events""]","[""20:00-23:00"", ""12:00-14:00""]","[""stu_3866"", ""stu_4588"", ""stu_2575"", ""stu_2858""]"
stu_0083,"[""Mech""]","[""startups"", ""clubs"", ""events"", ""career"", ""coding""]","[""17:00-19:00"", ""06:00-09:00""]","[""stu_2161"", ""stu_3230"", ""stu_1156"", ""stu_0323""]"
stu_0084,"[""Mech""]","[""internships"", ""events"", ""project"", ""startups""]","[""08:00-11:00"", ""17:00-19:00""]","[""stu_2283"", ""stu_4237""]"
stu_0085,"[""AI""]","[""clubs"", ""project"", ""internships"", ""coding""]","[""12:00-14:00"", ""20:00-23:00""]","[""stu_3430"", ""stu_4095""]"
stu_0086,"[""CSE""]","[""startups"", ""internships"", ""coding""]","[""17:00-19:00"", ""20:00-23:00""]","[""stu_3631"", ""stu_4385"", ""stu_4447""]"
stu_0087,"[""AI"", ""Mech""]","[""events"", ""clubs"", ""python"", ""internships"", ""project""]","[""17:00-19:00"", ""06:00-09:00""]","[""stu_2891"", ""stu_2612"", ""stu_1385"", ""stu_4835""]"
stu_0088,"[""IT"", ""Mech""]","[""events"", ""clubs"", ""internships"", ""startups"", ""design""]","[""06:00-09:00"", ""08:00-11:00""]","[""stu_3308"", ""stu_0764""]"
stu_0089,"[""Mech"", ""ECE""]","[""clubs"", ""project"", ""startups"", ""design""]","[""06:00-09:00"", ""12:00-14:00""]","[""stu_1473"", ""stu_1079""]"
stu_0090,"[""Mech""]","[""design"", ""internships"", ""project""]","[""12:00-14:00"", ""06:00-09:00""]","[""stu_0796"", ""stu_4574"", ""stu_2520"", ""stu_4573""]"
stu_0091,"[""IT"", ""Mech""]","[""internships"", ""python"", ""design""]","[""20:00-23:00"", ""08:00-11:00""]","[""stu_3560"", ""stu_1235"", ""stu_1506"", ""stu_1313""]"
stu_0092,"[""Mech"", ""DS""]","[""clubs"", ""startups"", ""career"", ""project"", ""design""]","[""20:00-23:00"", ""08:00-11:00""]","[""stu_0145"", ""stu_2273"", ""stu_0923"", ""stu_2003""]"
stu_0093,"[""AI"", ""ECE""]","[""clubs"", ""python"", ""career"", ""ML""]","[""20:00-23:00"", ""12:00-14:00""]","[""stu_2758"", ""stu_4195"", ""stu_4398"", ""stu_4505""]"
stu_0094,"[""DS""]","[""events"", ""internships"", ""design"", ""coding""]","[""12:00-14:00"", ""06:00-09:00""]","[""stu_4238"", ""stu_0893"", ""stu_0888""]"
stu_0095,"[""DS"", ""IT""]","[""coding"", ""python"", ""startups"", ""project""]","[""20:00-23:00"", ""17:00-19:00""]","[""stu_3774"", ""stu_1586"", ""stu_3254""]"
stu_0096,"[""DS"", ""Mech""]","[""python"", ""coding"", ""ML""]","[""20:00-23:00"", ""17:00-19:00""]","[""stu_1841"", ""stu_3905"", ""stu_0052""]"
stu_0097,"[""DS"", ""Mech""]","[""startups"", ""clubs"", ""design""]","[""20:00-23:00"", ""12:00-14:00""]","[""stu_0212"", ""stu_4158"", ""stu_0951""]"
stu_0098,"[""IT""]","[""career"", ""coding"", ""project""]","[""17:00-19:00"", ""08:00-11:00""]","[""stu_3895"", ""stu_1837"", ""stu_3660""]"
stu_0099,"[""ECE"", ""Mech""]","[""python"", ""project"", ""coding"", ""ML""]","[""06:00-09:00"", ""08:00-11:00""]","[""stu_2297"", ""stu_0331"", ""stu_0016""]"
stu_0100,"[""DS""]","[""ML"", ""events"", ""internships"", ""clubs"", ""python""]","[""17:00-19:00"", ""20:00-23:00""]","[""stu_1286"", ""stu_1608""]"
stu_0101,"[""DS"", ""Mech""]","[""events"", ""startups"", ""internships""]","[""17:00-19:00"", ""06:00-09:00""]","[""stu_0507"", ""stu_2318""]"
stu_0102,"[""ECE"", ""CSE""]","[""project"", ""startups"", ""clubs"", ""career""]","[""06:00-09:00"", ""12:00-14:00""]","[""stu_0046"", ""stu_1827"", ""stu_2840"", ""stu_2435""]"
stu_0103,"[""Mech""]","[""internships"", ""career"", ""project"", ""design""]","[""06:00-09:00"", ""20:00-23:00""]","[""stu_1579"", ""stu_2800"", ""stu_1507"", ""stu_2938""]"
stu_0104,"[""CSE"", ""AI""]","[""python"", ""project"", ""startups""]","[""17:00-19:00"", ""06:00-09:00""]","[""stu_4400"", ""stu_2946"", ""stu_0885"", ""stu_2222""]"
stu_0105,"[""Mech"", ""AI""]","[""project"", ""clubs"", ""design"", ""career""]","[""06:00-09:00"", ""20:00-23:00""]","[""stu_1192"", ""stu_4985"", ""stu_4710""]"
stu_0106,"[""DS""]","[""startups"", ""python"", ""career"", ""coding""]","[""20:00-23:00"", ""08:00-11:00""]","[""stu_1085"", ""stu_0655""]"
stu_0107,"[""Mech""]","[""design"", ""clubs"", ""events""]","[""17:00-19:00"", ""06:00-09:00""]","[""stu_2572"", ""stu_1749"", ""stu_3247"", ""stu_1383""]"
stu_0108,"[""CSE""]","[""internships"", ""coding"", ""events"", ""clubs"", ""ML""]","[""06:00-09:00"", ""17:00-19:00""]","[""stu_2196"", ""stu_4956"", ""stu_3404"", ""stu_1940""]"
stu_0109,"[""AI""]","[""events"", ""clubs"", ""coding"", ""ML""]","[""17:00-19:00"", ""20:00-23:00""]","[""stu_0362"", ""stu_2218""]"
stu_0110,"[""AI""]","[""project"", ""coding"", ""career""]","[""20:00-23:00"", ""12:00-14:00""]","[""stu_1570"", ""stu_3623""]"
stu_0111,"[""DS"", ""AI""]","[""project"", ""clubs"", ""events""]","[""06:00-09:00"", ""20:00-23:00""]","[""stu_2589"", ""stu_4295"", ""stu_3586""]"
stu_0112,"[""CSE"", ""DS""]","[""python"", ""coding"", ""clubs""]","[""12:00-14:00"", ""08:00-11:00""]","[""stu_0583"", ""stu_2203""]"
stu_0113,"[""AI""]","[""career"", ""project"", ""ML"", ""python"", ""internships""]","[""08:00-11:00"", ""17:00-19:00""]","[""stu_2731"", ""stu_4436""]"
stu_0114,"[""Mech"", ""CSE""]","[""design"", ""internships"", ""career""]","[""20:00-23:00"", ""17:00-19:00""]","[""stu_0687"", ""stu_2764"", ""stu_3329"", ""stu_3482""]"
stu_0115,"[""Mech""]","[""design"", ""clubs"", ""career""]","[""17:00-19:00"", ""06:00-09:00""]","[""stu_4307"", ""stu_1397"", ""stu_3052""]"
stu_0116,"[""ECE""]","[""internships"", ""startups"", ""ML"", ""clubs"", ""career""]","[""20:00-23:00"", ""17:00-19:00""]","[""stu_4111"", ""stu_2090"", ""stu_1015""]"
stu_0117,"[""ECE"", ""CSE""]","[""ML"", ""clubs"", ""python"", ""internships"", ""design""]","[""08:00-11:00"", ""06:00-09:00""]","[""stu_1390"", ""stu_4620""]"
stu_0118,"[""IT"", ""CSE""]","[""internships"", ""career"", ""events"", ""project"", ""design""]","[""06:00-09:00"", ""08:00-11:00""]","[""stu_4674"", ""stu_0625"", ""stu_1688""]"
stu_0119,"[""DS"", ""Mech""]","[""python"", ""internships"", ""coding"", ""project"", ""startups""]","[""17:00-19:00"", ""08:00-11:00""]","[""stu_4765"", ""stu_2280""]"
stu_0120,"[""Mech"", ""ECE""]","[""internships"", ""events"", ""python"", ""design"", ""coding""]","[""12:00-14:00"", ""08:00-11:00""]","[""stu_3862"", ""stu_2502"", ""stu_1077""]"
stu_0121,"[""Mech""]","[""ML"", ""python"", ""events"", ""design"", ""career""]","[""08:00-11:00"", ""20:00-23:00""]","[""stu_4953"", ""stu_1031"", ""stu_4141"", ""stu_4689""]"
stu_0122,"[""ECE"", ""CSE""]","[""startups"", ""python"", ""career""]","[""17:00-19:00"", ""08:00-11:00""]","[""stu_0189"", ""stu_2986"", ""stu_4880""]"
stu_0123,"[""AI""]","[""ML"", ""startups"", ""internships"", ""design""]","[""20:00-23:00"", ""08:00-11:00""]","[""stu_0082"", ""stu_2677"", ""stu_3629"", ""stu_3827""]"
stu_0124,"[""DS"", ""ECE""]","[""project"", ""startups"", ""python"", ""events""]","[""17:00-19:00"", ""06:00-09:00""]","[""stu_1951"", ""stu_4593""]"
stu_0125,"[""Mech""]","[""events"", ""career"", ""internships"", ""design""]","[""08:00-11:00"", ""20:00-23:00""]","[""stu_4946"", ""stu_0246""]"
stu_0126,"[""AI""]","[""startups"", ""ML"", ""career""]","[""20:00-23:00"", ""06:00-09:00""]","[""stu_3546"", ""stu_2165""]"
stu_0127,"[""IT""]","[""python"", ""design"", ""project""]","[""06:00-09:00"", ""08:00-11:00""]","[""stu_0980"", ""stu_2333"", ""stu_4943""]"
stu_0128,"[""Mech"", ""IT""]","[""career"", ""coding"", ""design""]","[""12:00-14:00"", ""17:00-19:00""]","[""stu_2528"", ""stu_0108"", ""stu_0277"", ""stu_0117""]"
stu_0129,"[""DS""]","[""coding"", ""events"", ""clubs""]","[""06:00-09:00"", ""17:00-19:00""]","[""stu_1082"", ""stu_1777"", ""stu_0574""]"
stu_0130,"[""DS""]","[""startups"", ""clubs"", ""internships"", ""python"", ""career""]","[""06:00-09:00"", ""17:00-19:00""]","[""stu_3851"", ""stu_1640"", ""stu_1329""]"
stu_0131,"[""Mech""]","[""design"", ""startups"", ""internships"", ""ML""]","[""08:00-11:00"", ""20:00-23:00""]","[""stu_0286"", ""stu_2908"", ""stu_3709""]"
stu_0132,"[""IT""]","[""design"", ""ML"", ""startups"", ""coding""]","[""17:00-19:00"", ""08:00-11:00""]","[""stu_1769"", ""stu_3099""]"
stu_0133,"[""IT"", ""Mech""]","[""events"", ""startups"", ""ML""]","[""06:00-09:00"", ""20:00-23:00""]","[""stu_4777"", ""stu_3900""]"
stu_0134,"[""ECE""]","[""project"", ""internships"", ""startups""]","[""08:00-11:00"", ""20:00-23:00""]","[""stu_4735"", ""stu_1728""]"
stu_0135,"[""CSE""]","[""coding"", ""ML"", ""internships"", ""startups"", ""clubs""]","[""20:00-23:00"", ""17:00-19:00""]","[""stu_2381"", ""stu_4906""]"
stu_0136,"[""IT"", ""ECE""]","[""events"", ""career"", ""startups"", ""design"", ""python""]","[""08:00-11:00"", ""20:00-23:00""]","[""stu_1402"", ""stu_2550"", ""stu_4366""]"
stu_0137,"[""IT""]","[""events"", ""clubs"", ""internships""]","[""12:00-14:00"", ""06:00-09:00""]","[""stu_1919"", ""stu_1394"", ""stu_4375"", ""stu_3372""]"
stu_0138,"[""CSE"", ""DS""]","[""project"", ""clubs"", ""design"", ""events""]","[""08:00-11:00"", ""12:00-14:00""]","[""stu_3985"", ""stu_2390"", ""stu_0664""]"
stu_0139,"[""AI""]","[""internships"", ""design"", ""startups"", ""career""]","[""06:00-09:00"", ""12:00-14:00""]","[""stu_0542"", ""stu_1752"", ""stu_2086"", ""stu_2257""]"
stu_0140,"[""DS"", ""CSE""]","[""startups"", ""clubs"", ""events"", ""ML"", ""python""]","[""17:00-19:00"", ""12:00-14:00""]","[""stu_2855"", ""stu_3846"", ""stu_1797"", ""stu_4022""]"
stu_0141,"[""IT"", ""CSE""]","[""career"", ""startups"", ""project""]","[""12:00-14:00"", ""17:00-19:00""]","[""stu_1694"", ""stu_3306"", ""stu_1127""]"
stu_0142,"[""AI""]","[""clubs"", ""python"", ""events""]","[""06:00-09:00"", ""12:00-14:00""]","[""stu_4341"", ""stu_1737"", ""stu_0716""]"
stu_0143,"[""Mech"", ""CSE""]","[""internships"", ""design"", ""clubs"", ""career""]","[""08:00-11:00"", ""20:00-23:00""]","[""stu_2964"", ""stu_0372""]"
stu_0144,"[""CSE"", ""IT""]","[""internships"", ""coding"", ""career"", ""python""]","[""06:00-09:00"", ""12:00-14:00""]","[""stu_0003"", ""stu_0233""]"
stu_0145,"[""Mech""]","[""events"", ""python"", ""career"", ""startups""]","[""06:00-09:00"", ""12:00-14:00""]","[""stu_3790"", ""stu_3799"", ""stu_1789""]"
stu_0146,"[""DS""]","[""career"", ""clubs"", ""startups"", ""internships""]","[""12:00-14:00"", ""20:00-23:00""]","[""stu_0966"", ""stu_3846"", ""stu_4062""]"
stu_0147,"[""AI"", ""ECE""]","[""career"", ""startups"", ""coding"", ""design""]","[""12:00-14:00"", ""20:00-23:00""]","[""stu_1281"", ""stu_2227""]"
stu_0148,"[""IT"", ""ECE""]","[""internships"", ""coding"", ""events""]","[""06:00-09:00"", ""17:00-19:00""]","[""stu_4421"", ""stu_4529"", ""stu_4298"", ""stu_3262""]"
stu_0149,"[""DS"", ""ECE""]","[""career"", ""design"", ""startups"", ""events""]","[""20:00-23:00"", ""08:00-11:00""]","[""stu_2671"", ""stu_3128"", ""stu_2424"", ""stu_2270""]"
stu_0150,"[""ECE""]","[""ML"", ""project"", ""python"", ""events""]","[""20:00-23:00"", ""17:00-19:00""]","[""stu_0793"", ""stu_4297""]"
